datatime,duration,caller_mobile_number,callee_mobile_number
2022-09-05T03:45:58.000Z,9,998-620-5954,357-358-7039
2022-07-01T15:50:42.000Z,51,736-531-2892,185-852-3517
2022-12-29T19:49:11.000Z,10,747-254-9322,435-759-7404
2022-08-30T23:25:21.000Z,33,963-486-0388,580-135-1710
2022-04-23T03:47:57.000Z,43,908-155-0449,411-171-8870
2022-07-05T16:23:43.000Z,43,908-155-0449,327-139-5246
2022-10-17T14:26:11.000Z,11,463-479-4414,435-759-7404
2022-07-08T03:37:10.000Z,51,269-370-9095,327-139-5246
2022-08-30T08:58:17.000Z,45,269-370-9095,386-470-1159
2022-11-01T08:15:35.000Z,9,269-370-9095,820-489-1350
2022-10-14T15:35:44.000Z,13,578-347-3336,571-716-8739
2022-01-25T07:28:58.000Z,5,147-243-0554,185-852-3517
2022-09-09T00:11:34.000Z,50,907-415-3018,548-713-5436
2022-01-15T05:49:54.000Z,52,138-211-9028,981-101-8593
2022-08-02T09:06:12.000Z,36,138-211-9028,238-528-0229
2022-08-03T21:18:45.000Z,40,703-174-4544,386-470-1159
2022-09-17T09:03:02.000Z,42,472-949-1498,852-171-0396
2022-09-06T10:13:50.000Z,20,154-260-2732,838-564-2585
2022-08-18T01:08:13.000Z,25,159-456-3837,901-480-8620
2022-11-12T08:19:06.000Z,39,641-185-4479,185-852-3517
2022-06-18T06:14:03.000Z,43,215-464-6070,408-523-8733
2022-04-21T05:00:47.000Z,13,604-869-6181,185-852-3517
2022-08-28T08:37:54.000Z,30,809-978-4453,862-877-2404
2022-11-18T21:03:16.000Z,35,354-449-3399,871-424-6996
2022-09-09T14:30:27.000Z,46,599-822-5338,800-859-7486
2022-10-24T03:59:32.000Z,40,309-391-0235,185-852-3517
2022-02-19T00:25:36.000Z,16,280-767-8054,386-470-1159
2022-03-02T03:36:43.000Z,51,450-275-5829,343-487-5298
2022-02-03T11:43:25.000Z,6,968-660-9665,618-994-6923
2022-06-02T09:54:32.000Z,41,885-658-8468,824-656-4031
2022-09-08T09:29:04.000Z,43,246-992-4684,327-139-5246
2022-10-30T08:58:54.000Z,48,847-970-2181,624-207-0268
2022-01-03T06:29:11.000Z,33,847-970-2181,824-633-9520
2022-11-06T09:12:11.000Z,2,268-396-4850,660-400-7327
2022-02-08T12:19:48.000Z,19,959-689-1558,635-735-5598
2022-10-03T06:49:45.000Z,56,421-263-4770,185-852-3517
2022-10-12T00:24:47.000Z,14,421-263-4770,185-852-3517
2022-02-23T13:46:07.000Z,5,421-263-4770,393-757-3471
2022-12-13T18:01:54.000Z,55,421-263-4770,581-839-9231
2022-06-24T16:28:18.000Z,48,217-456-6156,185-852-3517
2022-12-24T11:00:37.000Z,28,698-874-5183,327-139-5246
2022-03-06T07:43:57.000Z,28,381-851-4610,185-852-3517
2022-05-21T17:31:31.000Z,8,178-308-3656,161-348-2801
2022-02-19T22:52:00.000Z,46,144-959-4932,800-859-7486
2022-04-26T13:17:35.000Z,33,144-959-4932,904-401-7809
2022-08-24T19:01:03.000Z,6,807-762-5743,252-774-6082
2022-05-30T00:27:57.000Z,57,936-466-9228,327-139-5246
