customer_id,mobile_number
6101-IMRMM,132-999-9076
8118-TJAFG,968-660-9665
5429-LWCMV,312-510-0382
7298-IZWLY,488-966-6683
9758-MFWGD,439-423-6991
3955-JBZZM,599-416-8542
1268-ASBGA,861-861-2764
8943-URTMR,634-659-3622
4815-TUMEQ,602-864-6057
4713-LZDRV,146-983-3444
9909-IDLEK,130-713-0194
4092-OFQZS,983-524-6658
1561-BWHIN,327-696-6379
4325-NFSKC,354-990-5715
9927-DSWDF,918-242-1511
9500-LTVBP,391-420-4705
7252-NTGSS,590-117-4193
8149-AIQCG,367-850-1707
1360-JYXKQ,568-338-6664
2955-PSXOE,968-801-2369
7762-URZQH,517-510-1507
0899-WZRSD,125-724-4786
3255-GRXMG,756-147-4271
4828-FAZPK,557-992-5363
6094-ZIVKX,688-422-7059
6925-BAYGL,616-368-8695
3262-EIDHV,275-930-7211
7354-OIJLX,237-667-6323
1376-HHBDV,735-374-2649
6907-NZZIJ,282-634-8980
6133-OZILE,881-854-7628
4135-FRWKJ,408-244-6136
2911-UREFD,727-388-1094
3744-ZRRDZ,285-181-7248
5673-TIYIB,225-842-0875
6551-ZCOTS,803-150-2466
7191-ADRGF,959-831-8366
5018-LXQQG,384-912-2029
6892-BOGQE,742-306-2084
1602-IJQQE,857-668-9848
4628-WQCQQ,322-731-2779
1746-TGTWV,846-466-3378
5995-SNNEW,930-271-7022
8050-WYBND,663-225-8196
2821-WARNZ,611-223-4558
4879-GZLFH,740-638-7857
1644-IRKSF,119-701-4201
8314-HTWVE,733-620-4974
9402-ROUMJ,519-299-0085
2507-QZPQS,672-585-7160
7159-NOKYQ,615-255-9679
5707-ZMDJP,778-748-0466
8779-YIQQA,205-314-1613
7136-IHZJA,202-995-1450
8966-OIQHG,875-706-8340
7074-STDCN,417-440-5260
3705-PSNGL,672-177-3477
8739-QOTTN,321-829-2234
1399-OUPJN,168-412-7739
0277-BKSQP,206-342-7538
6502-HCJTI,618-350-9809
2606-RMDHZ,471-297-3336
5774-XZTQC,308-721-9748
2676-SSLTO,698-271-6837
6266-QHOJZ,243-926-5533
7269-JISCY,266-183-4498
0363-SVHYR,547-551-4331
8547-NSBBO,713-643-8896
8258-GSTJK,159-508-8939
6861-OKBCE,573-523-4961
9940-RHLFB,714-711-4103
